month,year,date,city,campaign,latitude,longitude,country,userType,sessions,goal1Completions,goal2Completions,goal9Completions,goal11Completions,goal13Completions,goal17Completions,dist_edi,dist_gla,dist_inv,catchment_city
01,2020,2020-01,Rutherglen,(not set),55.8290,-4.2243,United Kingdom,Returning Visitor,6,0,0,0,0,0,0,66.01606547310797,4.271109579101994,183.21465762904486,Glasgow
01,2020,2020-01,Barrhead,(not set),55.7967,-4.3977,United Kingdom,New Visitor,1,0,0,0,0,0,0,77.3730606652453,11.797067605400018,187.1025723893247,Glasgow
01,2020,2020-01,Bellshill,(not set),55.8168,-4.0265,United Kingdom,New Visitor,1,0,0,0,0,0,0,54.39558879050898,15.011656081317444,184.96686092029927,Glasgow
01,2020,2020-01,Cumbernauld,(not set),55.9457,-3.9925,United Kingdom,New Visitor,1,0,0,0,0,0,0,50.04311252948382,18.517512135758093,170.83464933804078,Glasgow
01,2020,2020-01,Cumbernauld,Brand | Generic,55.9457,-3.9925,United Kingdom,New Visitor,1,0,0,0,0,0,0,50.04311252948382,18.517512135758093,170.83464933804078,Glasgow
01,2020,2020-01,Dunfermline,(not set),56.0717,-3.4522,United Kingdom,New Visitor,2,0,0,0,0,0,0,21.01948418789828,54.81154933662223,163.16893531566924,Edinburgh
01,2020,2020-01,Dunfermline,(not set),56.0717,-3.4522,United Kingdom,Returning Visitor,4,0,0,0,0,0,0,21.01948418789828,54.81154933662223,163.16893531566924,Edinburgh
01,2020,2020-01,Edinburgh,(not set),55.9533,-3.1883,United Kingdom,New Visitor,19,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,(not set),55.9533,-3.1883,United Kingdom,Returning Visitor,22,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,Brand | Edinburgh,55.9533,-3.1883,United Kingdom,New Visitor,1,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,Brand | Generic,55.9533,-3.1883,United Kingdom,New Visitor,4,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,Brand | Generic,55.9533,-3.1883,United Kingdom,Returning Visitor,5,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,Courses | Edinburgh,55.9533,-3.1883,United Kingdom,New Visitor,1,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
01,2020,2020-01,Edinburgh,Learn | Edinburgh,55.9533,-3.1883,United Kingdom,New Visitor,1,0,0,0,0,0,0,0,66.9743510195009,180.80299247269616,Edinburgh
